id_conf,run_id,mutation,neighbor,H,stop,nb solutions,hv,spacing,duration_batch
18,1,0.1,0.1,10,100,51,0.5901625318306053,0.1229172041950352,21.020343160629274
18,2,0.1,0.1,10,100,53,0.5755730170355077,0.10922863669077797,21.020343160629274
18,3,0.1,0.1,10,100,33,0.5478027189703337,0.14696674931581694,21.020343160629274
18,4,0.1,0.1,10,100,67,0.5885510646570435,0.09573787040207675,21.020343160629274
20,0,0.1,0.2,10,100,94,0.5955825217631823,0.11340558563653279,20.8576708316803
20,1,0.1,0.2,10,100,77,0.5518603248356055,0.10389217058901132,20.8576708316803
20,2,0.1,0.2,10,100,62,0.514576894711539,0.12866341366036838,20.8576708316803
20,3,0.1,0.2,10,100,53,0.5874279875841817,0.10998290318531846,20.8576708316803
20,4,0.1,0.2,10,100,45,0.5526460259969116,0.12499959927889465,20.8576708316803
22,0,0.2,0.1,10,100,31,0.5597187089900635,0.09926029464914732,21.460272789001465
22,1,0.2,0.1,10,100,82,0.577956195623651,0.0784054515868104,21.460272789001465
22,2,0.2,0.1,10,100,66,0.5895718538977799,0.15724484064342312,21.460272789001465
22,3,0.2,0.1,10,100,49,0.5521450235272505,0.10251252646447839,21.460272789001465
22,4,0.2,0.1,10,100,58,0.5628748606098175,0.13669355648287873,21.460272789001465
23,0,0.2,0.15,10,100,53,0.5718222883814089,0.1433665219752595,20.79687080383301
23,1,0.2,0.15,10,100,48,0.5691006206663413,0.11858829781775773,20.79687080383301
23,2,0.2,0.15,10,100,84,0.6010562589064751,0.0894555703538775,20.79687080383301
23,3,0.2,0.15,10,100,55,0.5855121835731651,0.11768481746837939,20.79687080383301
23,4,0.2,0.15,10,100,41,0.5504508333161081,0.17111350269596698,20.79687080383301
28,0,0.4,0.2,10,100,90,0.5945282859114542,0.09364164958765474,17.027579498291015
28,1,0.4,0.2,10,100,47,0.5834853753289031,0.12781435229035298,17.027579498291015
28,2,0.4,0.2,10,100,49,0.6036398521797096,0.1088847566694317,17.027579498291015
28,3,0.4,0.2,10,100,47,0.5983078526169299,0.10772028839817605,17.027579498291015
28,4,0.4,0.2,10,100,33,0.5708352389915117,0.10023511576689413,17.027579498291015
24,0,0.2,0.2,10,100,69,0.5703705383877913,0.09138696835715623,21.116506576538086
24,1,0.2,0.2,10,100,73,0.5519996156551364,0.1142433069431676,21.116506576538086
24,2,0.2,0.2,10,100,32,0.5559787889097109,0.15389475627485905,21.116506576538086
24,3,0.2,0.2,10,100,38,0.560671565076008,0.12698664092249326,21.116506576538086
24,4,0.2,0.2,10,100,57,0.5708186051979628,0.09426729708034438,21.116506576538086
25,0,0.4,0.05,10,100,63,0.5799420399070487,0.1038562064148114,21.26856632232666
25,1,0.4,0.05,10,100,131,0.5828268004387315,0.09496755407862632,21.26856632232666
25,2,0.4,0.05,10,100,143,0.5583168070763239,0.0853722666567183,21.26856632232666
25,3,0.4,0.05,10,100,113,0.5547767957496685,0.08718883407872811,21.26856632232666
25,4,0.4,0.05,10,100,163,0.5760573325980024,0.08218718755769659,21.26856632232666
26,0,0.4,0.1,10,100,77,0.5704719930520531,0.11666755569094076,21.182364797592165
26,1,0.4,0.1,10,100,85,0.5909907750645821,0.09464173208950144,21.182364797592165
26,2,0.4,0.1,10,100,79,0.5592524532635956,0.10023821197030473,21.182364797592165
26,3,0.4,0.1,10,100,84,0.590663387938012,0.09264248909851368,21.182364797592165
26,4,0.4,0.1,10,100,69,0.5867086289748219,0.08992011150490023,21.182364797592165
27,0,0.4,0.15,10,100,55,0.5736849558756224,0.11540960413830735,21.495687580108644
27,1,0.4,0.15,10,100,56,0.603098848251022,0.10889679255447086,21.495687580108644
27,2,0.4,0.15,10,100,31,0.5561089343839184,0.16359753031889124,21.495687580108644
27,3,0.4,0.15,10,100,36,0.5835617698853712,0.11300378810027419,21.495687580108644
27,4,0.4,0.15,10,100,42,0.5757319020050072,0.17430838705304963,21.495687580108644
32,0,0.5,0.2,10,100,39,0.5431181811510926,0.1396904152778463,18.88569869995117
32,1,0.5,0.2,10,100,58,0.5830728472249984,0.109869357341965,18.88569869995117
32,2,0.5,0.2,10,100,46,0.578318361346787,0.10466454370418399,18.88569869995117
32,3,0.5,0.2,10,100,63,0.580564646364978,0.10984305867701068,18.88569869995117
32,4,0.5,0.2,10,100,41,0.5894123802828525,0.19199213513296223,18.88569869995117
31,0,0.5,0.15,10,100,33,0.5771081075040998,0.12489344697177146,19.616063594818115
31,1,0.5,0.15,10,100,69,0.5639534888892024,0.08977174431247226,19.616063594818115
31,2,0.5,0.15,10,100,106,0.581367965358462,0.07600801627901456,19.616063594818115
31,3,0.5,0.15,10,100,62,0.5633869680208511,0.12732182538813744,19.616063594818115
31,4,0.5,0.15,10,100,40,0.5682479439328051,0.1468680570254308,19.616063594818115
29,0,0.5,0.05,10,100,148,0.5606508233571411,0.08399335967657338,21.6630539894104
29,1,0.5,0.05,10,100,68,0.571866491721518,0.09788394424664236,21.6630539894104
29,2,0.5,0.05,10,100,92,0.5612073089294959,0.11738958442012652,21.6630539894104
29,3,0.5,0.05,10,100,119,0.5935393418673113,0.08513152607035844,21.6630539894104
29,4,0.5,0.05,10,100,94,0.5731409431437059,0.09385084158075595,21.6630539894104
